Component Name,Normalized Name,Nanotek Price,Nanotek Status,Nanotek URL
Elgato Facecam Pro Premium 4K Webcam,elgatofacecampropremium4kwebcam,99500.0,Out of Stock,https://www.nanotek.lk/product/elgato-facecam-pro-premium-4k-webcam
Elgato CHAT LINK Cable,elgatochatlinkcable,2000.0,In Stock,https://www.nanotek.lk/product/elgato-chat-link-cable
LOGITECH C270 HD WEBCAM,logitechc270hdwebcam,8500.0,In Stock,https://www.nanotek.lk/product/logitech-c270-hd-webcam
Elgato HD60 S+ Game Capture,elgatohd60sgamecapture,54000.0,In Stock,https://www.nanotek.lk/product/elgato-hd60-s-game-capture
ELGATO Stream Deck Pedal,elgatostreamdeckpedal,32500.0,In Stock,https://www.nanotek.lk/product/elgato-stream-deck-pedal
Elgato Game Capture HD60 S High Definition Game Recorder,elgatogamecapturehd60shighdefinitiongamerecorder,48500.0,In Stock,https://www.nanotek.lk/product/elgato-game-capture-hd60-s-high-definition-game-recorder
GoPro HERO11 Black,goprohero11black,90000.0,Out of Stock,https://www.nanotek.lk/product/gopro-hero11-black
UGREEN LP680 Selfie Stick Tripod with Bluetooth Remote  - 15609,ugreenlp680selfiesticktripodbluetoothremote15609,5500.0,Out of Stock,https://www.nanotek.lk/product/ugreen-lp680-selfie-stick-tripod-with-bluetooth-remote-15609
ELGATO FACECAM NEO,elgatofacecamneo,31000.0,Out of Stock,https://www.nanotek.lk/product/elgato-facecam-neo
ELGATO STREAM DECK,elgatostreamdeck,54000.0,In Stock,https://www.nanotek.lk/product/elgato-stream-deck
Elgato Stream Deck Neo,elgatostreamdeckneo,32000.0,In Stock,https://www.nanotek.lk/product/elgato-stream-deck-neo
ELGATO FACECAM MK.2 – PREMIUM FULL HD WEBCAM,elgatofacecammk2premiumfullhdwebcam,49000.0,Out of Stock,https://www.nanotek.lk/product/elgato-facecam-mk2-premium-full-hd-webcam
Elgato Stream Deck+ Black Edition,elgatostreamdeckblack,63000.0,In Stock,https://www.nanotek.lk/product/elgato-stream-deck-black-edition
Fantech LEVIOSA MCX01 Condenser Microphone,fantechleviosamcx01condensermicrophone,10000.0,In Stock,https://www.nanotek.lk/product/fantech-leviosa-mcx01-condenser-microphone
